Timestamp,Which do you prefer: ,How many times do you go the gym per week?
4/3/2023 11:18:36,Online shopping,5
4/3/2023 11:23:26,Online shopping,0
4/3/2023 11:23:39,Online shopping,6
4/3/2023 11:23:43,Online shopping,0
4/3/2023 11:23:47,Online shopping,0
4/3/2023 11:23:50,Online shopping,3
4/3/2023 11:23:50,Online shopping,3
4/3/2023 11:23:55,Online shopping,4
4/3/2023 11:24:01,Online shopping,0
4/3/2023 11:24:01,Online shopping,1
4/3/2023 11:24:12,Online shopping,3
4/3/2023 11:24:21,Online shopping,4
4/3/2023 11:24:33,Shopping in person,5
4/3/2023 11:24:51,Online shopping,0
4/3/2023 11:24:57,Shopping in person,0
4/3/2023 11:25:03,Online shopping,5
4/3/2023 11:25:07,Shopping in person,7
4/3/2023 11:25:09,Shopping in person,0
4/3/2023 11:25:09,Shopping in person,3
4/3/2023 11:25:15,Shopping in person,4
4/3/2023 11:25:15,Shopping in person,5
4/3/2023 11:25:16,Online shopping,0
4/3/2023 11:25:16,Shopping in person,5
4/3/2023 11:31:40,Shopping in person,5
4/3/2023 11:31:45,Online shopping,6
4/3/2023 11:31:48,Shopping in person,7
4/3/2023 11:34:59,Online shopping,6
4/3/2023 11:35:20,Shopping in person,5
4/3/2023 11:35:48,Online shopping,5
4/3/2023 11:35:53,Online shopping,6
4/3/2023 11:37:18,Shopping in person,3
4/3/2023 11:37:59,Online shopping,7
4/3/2023 11:38:20,Shopping in person,5
4/3/2023 11:39:06,Shopping in person,5
4/3/2023 11:39:11,Shopping in person,3
4/3/2023 11:39:16,Shopping in person,0
4/3/2023 11:39:29,Online shopping,0
4/3/2023 11:39:35,Shopping in person,0
4/3/2023 11:39:36,Online shopping,0
4/3/2023 11:39:38,Shopping in person,7
4/3/2023 11:39:56,Shopping in person,0
4/3/2023 11:40:01,Shopping in person,1
4/3/2023 11:40:03,Shopping in person,5
4/3/2023 11:40:06,Shopping in person,0
4/3/2023 11:41:09,Online shopping,3
4/3/2023 11:41:09,Shopping in person,12
4/3/2023 11:41:12,Shopping in person,0
4/3/2023 11:41:17,Shopping in person,1
4/3/2023 11:41:18,Shopping in person,1
4/3/2023 11:41:41,Online shopping,3
4/3/2023 11:41:58,Shopping in person,0
4/3/2023 11:42:27,Shopping in person,0
4/3/2023 11:42:30,Online shopping,4
4/3/2023 11:42:44,Online shopping,4
4/3/2023 11:42:46,Shopping in person,4
4/3/2023 11:42:55,Online shopping,2
4/3/2023 11:43:10,Shopping in person,0
4/3/2023 11:43:59,Online shopping,7
4/3/2023 11:44:25,Shopping in person,4
4/3/2023 11:45:11,Online shopping,0
4/3/2023 11:45:18,Shopping in person,0
4/3/2023 11:45:26,Online shopping,0
4/3/2023 11:45:26,Online shopping,0
4/3/2023 11:45:51,Online shopping,0
4/3/2023 11:46:23,Online shopping,0
4/3/2023 11:46:42,Online shopping,6
4/3/2023 11:47:06,Shopping in person,0
4/3/2023 11:47:09,Shopping in person,0
4/3/2023 11:47:09,Shopping in person,0
4/3/2023 11:47:11,Shopping in person,1
4/3/2023 11:47:15,Online shopping,7
4/3/2023 11:47:34,Online shopping,5
4/3/2023 11:47:59,Online shopping,
4/3/2023 11:48:02,Shopping in person,6
4/3/2023 11:48:29,Online shopping,0
4/3/2023 11:48:59,Shopping in person,4
4/3/2023 11:49:27,Shopping in person,0
4/3/2023 11:49:36,Shopping in person,0
4/3/2023 11:49:36,Shopping in person,3
4/3/2023 11:49:48,Online shopping,6
4/3/2023 11:49:55,Online shopping,0
4/3/2023 11:50:13,Shopping in person,3
4/3/2023 11:52:04,Online shopping,5
4/3/2023 11:52:22,Online shopping,7
4/3/2023 11:52:39,Shopping in person,0
4/3/2023 11:52:42,Online shopping,0
4/3/2023 11:52:43,Online shopping,0
4/3/2023 11:52:45,Shopping in person,0
4/3/2023 11:52:52,Online shopping,4
4/3/2023 11:53:39,Shopping in person,0
4/3/2023 11:54:03,Shopping in person,4
4/3/2023 11:54:05,Online shopping,2
4/3/2023 11:54:05,Shopping in person,5
4/3/2023 11:54:07,Shopping in person,0
4/3/2023 11:54:14,Online shopping,3
4/3/2023 11:54:24,Shopping in person,0
4/3/2023 11:54:25,Online shopping,0
4/3/2023 11:54:27,Shopping in person,5
4/3/2023 11:54:31,Online shopping,7
4/3/2023 11:57:11,Online shopping,2
4/3/2023 11:58:11,Online shopping,7
4/3/2023 11:59:07,Shopping in person,4
4/3/2023 11:59:44,Shopping in person,5
4/3/2023 12:01:33,Shopping in person,5
4/3/2023 12:01:47,Shopping in person,3
4/3/2023 12:06:54,Online shopping,4
4/3/2023 12:07:45,Shopping in person,4
4/3/2023 12:15:36,Online shopping,6
4/3/2023 12:18:23,Online shopping,6
4/3/2023 12:24:56,Shopping in person,5
4/3/2023 12:29:34,Shopping in person,6
4/3/2023 12:35:17,Shopping in person,4
4/3/2023 12:46:18,Online shopping,4
4/3/2023 13:08:39,Online shopping,4
4/3/2023 13:08:43,Shopping in person,6
4/3/2023 13:14:09,Shopping in person,4
4/3/2023 13:20:15,Shopping in person,4
4/3/2023 13:32:11,Online shopping,3
4/3/2023 13:55:23,Online shopping,0
4/3/2023 14:08:39,Shopping in person,6
4/3/2023 14:41:16,Online shopping,5
4/3/2023 15:47:01,Online shopping,4
4/3/2023 16:41:01,Online shopping,0
4/3/2023 16:41:20,Online shopping,5
4/3/2023 16:48:03,Shopping in person,4
4/3/2023 17:49:28,Shopping in person,12
